Module	Section	Sample Name	Source
fastp	all_sections	C1	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C1/res/C1/fastp/C1.fastp.json
fastp	all_sections	C2	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C2/res/C2/fastp/C2.fastp.json
fastp	all_sections	C3	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C3/res/C3/fastp/C3.fastp.json
fastp	all_sections	T1	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T1/res/T1/fastp/T1.fastp.json
fastp	all_sections	T2	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T2/res/T2/fastp/T2.fastp.json
fastp	all_sections	T3	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T3/res/T3/fastp/T3.fastp.json
Bowtie 2	all_sections	C1	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C1/res/C1/bowtie/C1.log
Bowtie 2	all_sections	C2	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C2/res/C2/bowtie/C2.log
Bowtie 2	all_sections	C3	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C3/res/C3/bowtie/C3.log
Bowtie 2	all_sections	T1	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T1/res/T1/bowtie/T1.log
Bowtie 2	all_sections	T2	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T2/res/T2/bowtie/T2.log
Bowtie 2	all_sections	T3	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T3/res/T3/bowtie/T3.log
Picard	DuplicationMetrics	C1	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C1/res/C1/markduplicates/C1.dupmetrics.txt
Picard	DuplicationMetrics	C2	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C2/res/C2/markduplicates/C2.dupmetrics.txt
Picard	DuplicationMetrics	C3	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C3/res/C3/markduplicates/C3.dupmetrics.txt
Picard	DuplicationMetrics	T1	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T1/res/T1/markduplicates/T1.dupmetrics.txt
Picard	DuplicationMetrics	T2	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T2/res/T2/markduplicates/T2.dupmetrics.txt
Picard	DuplicationMetrics	T3	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T3/res/T3/markduplicates/T3.dupmetrics.txt
FastQ Screen	all_sections	C1	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C1/res/C1/fastqs/C1_.sorted_unmap_all_1_screen.txt
FastQ Screen	all_sections	C2	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C2/res/C2/fastqs/C2_.sorted_unmap_all_2_screen.txt
FastQ Screen	all_sections	C3	/cluster/majf_lab/mtinti/Calvin/new_RBP5/C3/res/C3/fastqs/C3_.sorted_unmap_all_2_screen.txt
FastQ Screen	all_sections	T1	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T1/res/T1/fastqs/T1_.sorted_unmap_all_2_screen.txt
FastQ Screen	all_sections	T2	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T2/res/T2/fastqs/T2_.sorted_unmap_all_1_screen.txt
FastQ Screen	all_sections	T3	/cluster/majf_lab/mtinti/Calvin/new_RBP5/T3/res/T3/fastqs/T3_.sorted_unmap_all_1_screen.txt
