Gene_acc,Gene_id,logFC,-log10FDR,logCPM,Desc
1,Tb927.11.12100,3.4377341702189894,7.387368991453059,8.024040509002718,RNA-binding protein  putative
2,Tb927.1.20,2.5151465756232234,3.944065261224857,1.9124600932346107,expression site-associated gene 3 (ESAG3)  pseudogene
3,Tb927.10.7160,2.4807316809654876,5.432470988563924,1.6247071811799954,procyclin-associated gene 1 (PAG1) protein  putative
4,Tb427.BES40.19-pseudo,2.47910863428966,7.508661722293421,7.956725857054728,Tb427.BES40.19-pseudo
5,Tb927.10.10220,2.215666061586631,5.241653791149037,4.778555328678343,procyclin-associated gene 2 (PAG2) protein
6,Tb927.7.2010,2.1671935596734433,6.204242463100968,3.284686703793646,retrotransposon hot spot protein 7 (RHS7)  putative
7,Tb927.3.1500,2.1586767359615266,8.097764542545988,6.015701243789609,variant surface glycoprotein (VSG)-related  putative
8,Tb427VSG-1554,2.146670979907075,8.200845898632545,5.788963919919074,Tb427VSG-1554
9,Tb927.7.2000,2.0989923693528194,6.403289893955375,3.444309176466388,retrotransposon hot spot protein 7 (RHS7)  putative
10,Tb927.7.1990,2.0506041857986794,5.964629876455487,2.333524908051606,retrotransposon hot spot protein 7 (RHS7)  point mutation
11,Tb927.3.1510,2.044221592397335,7.433920498664537,5.200585514912659,variant surface glycoprotein (VSG)-related  putative
12,Tb927.7.1960,2.0184456098649357,4.820391080670554,2.6883961157334095,retrotransposon hot spot protein 7 (RHS7)  putative
13,Tb427.BES40.9,2.010824530151217,6.314463640838965,8.327690467758654,Tb427.BES40.9
14,Tb427.BES40.14,2.005343967605281,6.5746537853461735,9.19921472040531,Tb427.BES40.14
15,Tb427.BES129.10,2.0013188806589444,7.266865480064187,6.463142612577893,Tb427.BES129.10
16,Tb427.BES40.13,1.9899073948628898,8.200845898632545,10.434933563163904,Tb427.BES40.13
17,MSTRG.235,1.979769251842375,4.752135042218105,0.4188546283255643,MSTRG.235
18,Tb11.v5.0353,1.9779155367448027,4.888903784232538,3.4809174481906795,retrotransposon hot spot (RHS) protein  putative
19,TRY.21,1.975696729598066,7.737963842692404,6.599148838703051,TRY.21
20,Tb927.7.2020,1.971195452532653,6.089344318667547,2.930917267658491,retrotransposon hot spot protein 7 (RHS7)  putative
21,Tb427VSG-6591,1.967115779523106,4.359296863141968,2.0178229394257214,Tb427VSG-6591
22,Tb427VSG-7370,1.9469499809578197,6.780629311002872,3.705802940404237,Tb427VSG-7370
23,Tb427VSG-6386,1.9443480138259703,6.382934256735854,5.5545169691868415,Tb427VSG-6386
24,Tb427.BES129.9,1.9329923750652276,6.4044325980271966,7.484926424207217,Tb427.BES129.9
25,Tb427.BES40.7,1.9315617309554185,8.038997899745093,10.79666825326078,Tb427.BES40.7
26,Tb427VSG-7289,1.925745498272159,6.988005783290609,5.227527971517984,Tb427VSG-7289
27,Tb427.BES40.15,1.9219134196940535,6.03211260067483,8.29901539464038,Tb427.BES40.15
28,Tb427VSG-6416,1.8986026274197292,6.071113042799549,3.9335627340585866,Tb427VSG-6416
29,Tb427VSG-6401,1.8914997184054654,5.7807373861879565,3.0261771731980276,Tb427VSG-6401
30,Tb427VSG-6058,1.8704920503065716,5.744632188429328,4.586584973285829,Tb427VSG-6058
31,Tb927.7.1950,1.8680016921302847,5.4892225890938615,1.742918906214187,retrotransposon hot spot protein 7 (RHS7)  putative
32,TRY.367,1.8634906012258845,3.346599547133021,0.2618043388911543,TRY.367
33,MSTRG.232,1.8492891492692773,4.384057511953249,0.7315245368421065,MSTRG.232
34,Tb927.10.10230,1.8416171682944447,4.318422511848623,4.1413996803734126,procyclin-associated gene 5 (PAG5) protein
35,Tb427VSG-6387,1.8383842370177659,5.411776870299693,2.9808498788572453,Tb427VSG-6387
36,MSTRG.16,1.831523934256181,7.433920498664537,10.615876670316084,MSTRG.16
37,Tb427.BES129.8,1.8241366807130777,7.3410852456594835,9.157647158566359,Tb427.BES129.8
38,Tb427.BES40.17,1.8225193387090437,7.978804689236985,7.295389752575542,Tb427.BES40.17
39,Tb927.10.10240,1.8159256277930174,5.954866673778194,5.099813642256909,procyclin-associated gene 1 (PAG1) protein
40,TRY.698,1.7980234007853664,4.930302925347643,1.9513059014944514,TRY.698
41,Tb427.BES40.6,1.7940798175411432,7.807276919606894,7.13493257993163,Tb427.BES40.6
42,Tb427.BES40.11,1.7884146991380983,7.807276919606894,7.041588017371999,Tb427.BES40.11
43,Tb427.BES129.2,1.7830853955880903,4.561668894690636,8.513690851258895,Tb427.BES129.2
44,TRY.20,1.7795553165248448,7.36930884199365,7.742330555402413,TRY.20
45,Tb427.BES129.4,1.7755726186821252,4.441375452316649,8.842221678656015,Tb427.BES129.4
46,TRY.22,1.732935688346027,6.381399763584768,8.177852400897411,TRY.22
47,MSTRG.17,1.72857312970286,6.314463640838965,9.376813135172327,MSTRG.17
48,KS17gene_13a,1.721073744377004,6.03211260067483,9.204201342252338,KS17gene_13a
49,TRY.17,1.7145568800486342,6.445337673873208,7.40698305940612,TRY.17
50,MSTRG.233,1.6845499546395568,4.049669222606653,1.7509148751430728,MSTRG.233
51,KS17gene_16a,1.682652237583819,7.55553681296056,5.546564975171852,KS17gene_16a
